"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8145877,14528,1,2019,"U",,"Y","G","C","2019_01_OH045160X_NIBRS",,0
2019,8153539,14528,2,2019,"U",,"Y","G","C","2019_02_OH045160X_NIBRS",,0
2019,8161201,14528,3,2019,"U",,"Y","G","C","2019_03_OH045160X_NIBRS",,0
2019,8168863,14528,4,2019,"U",,"Y","G","C","2019_04_OH045160X_NIBRS",,0
2019,8176525,14528,5,2019,"U",,"Y","G","C","2019_05_OH045160X_NIBRS",,0
2019,8184187,14528,6,2019,"U",,"Y","G","C","2019_06_OH045160X_NIBRS",,0
2019,8191849,14528,7,2019,"U",,"Y","G","C","2019_07_OH045160X_NIBRS",,0
2019,8199511,14528,8,2019,"U",,"Y","G","C","2019_08_OH045160X_NIBRS",,0
2019,8207173,14528,9,2019,"U",,"Y","G","C","2019_09_OH045160X_NIBRS",,0
2019,8214835,14528,10,2019,"U",,"Y","G","C","2019_10_OH045160X_NIBRS",,0
2019,8222497,14528,11,2019,"U",,"Y","G","C","2019_11_OH045160X_NIBRS",,0
2019,8230159,14528,12,2019,"U",,"Y","G","C","2019_12_OH045160X_NIBRS",,0
2019,8145907,14563,1,2019,"U",,"Y","G","C","2019_01_OH0482200_NIBRS",,0
2019,8153569,14563,2,2019,"U",,"Y","G","C","2019_02_OH0482200_NIBRS",,0
2019,8161231,14563,3,2019,"U",,"Y","G","C","2019_03_OH0482200_NIBRS",,0
2019,8168893,14563,4,2019,"U",,"Y","G","C","2019_04_OH0482200_NIBRS",,0
2019,8176555,14563,5,2019,"I",,"Y","G","C","2019_05_OH0482200_NIBRS",49850438,0
2019,8184217,14563,6,2019,"U",,"Y","G","C","2019_06_OH0482200_NIBRS",,0
2019,8191879,14563,7,2019,"U",,"Y","G","C","2019_07_OH0482200_NIBRS",,0
2019,8199541,14563,8,2019,"I",,"Y","G","C","2019_08_OH0482200_NIBRS",59141678,0
2019,8207203,14563,9,2019,"I",,"Y","G","C","2019_09_OH0482200_NIBRS",62584220,0
2019,8214865,14563,10,2019,"U",,"Y","G","C","2019_10_OH0482200_NIBRS",,0
2019,8222527,14563,11,2019,"I",,"Y","G","C","2019_11_OH0482200_NIBRS",64239897,0
2019,8230189,14563,12,2019,"U",,"Y","G","C","2019_12_OH0482200_NIBRS",,0
2019,8145908,14564,1,2019,"U",,"Y","G","C","2019_01_OH0482300_NIBRS",,0
2019,8153570,14564,2,2019,"U",,"Y","G","C","2019_02_OH0482300_NIBRS",,0
2019,8161232,14564,3,2019,"U",,"Y","G","C","2019_03_OH0482300_NIBRS",,0
2019,8145701,14302,1,2019,"U",,"Y","G","C","2019_01_OH0221300_NIBRS",,0
2019,8153363,14302,2,2019,"U",,"Y","G","C","2019_02_OH0221300_NIBRS",,0
2019,8161025,14302,3,2019,"U",,"Y","G","C","2019_03_OH0221300_NIBRS",,0
2019,8168687,14302,4,2019,"U",,"Y","G","C","2019_04_OH0221300_NIBRS",,0
2019,8176349,14302,5,2019,"U",,"Y","G","C","2019_05_OH0221300_NIBRS",,0
2019,8184011,14302,6,2019,"U",,"Y","G","C","2019_06_OH0221300_NIBRS",,0
2019,8191673,14302,7,2019,"U",,"Y","G","C","2019_07_OH0221300_NIBRS",,0
2019,8199335,14302,8,2019,"U",,"Y","G","C","2019_08_OH0221300_NIBRS",,0
2019,8206997,14302,9,2019,"U",,"Y","G","C","2019_09_OH0221300_NIBRS",,0
2019,8214659,14302,10,2019,"U",,"Y","G","C","2019_10_OH0221300_NIBRS",,0
2019,8222321,14302,11,2019,"U",,"Y","G","C","2019_11_OH0221300_NIBRS",,0
2019,8229983,14302,12,2019,"U",,"Y","G","C","2019_12_OH0221300_NIBRS",,0
2019,8145741,14346,1,2019,"I",,"Y","G","C","2019_01_OH0259900_NIBRS",35703306,0
2019,8153403,14346,2,2019,"I",,"Y","G","C","2019_02_OH0259900_NIBRS",47538514,0
2019,8161065,14346,3,2019,"I",,"Y","G","C","2019_03_OH0259900_NIBRS",47547868,0
2019,8168727,14346,4,2019,"I",,"Y","G","C","2019_04_OH0259900_NIBRS",48764485,0
2019,8176389,14346,5,2019,"I",,"Y","G","C","2019_05_OH0259900_NIBRS",49847310,0
2019,8184051,14346,6,2019,"I",,"Y","G","C","2019_06_OH0259900_NIBRS",49847309,0
2019,8191713,14346,7,2019,"I",,"Y","G","C","2019_07_OH0259900_NIBRS",59131753,0
2019,8199375,14346,8,2019,"I",,"Y","G","C","2019_08_OH0259900_NIBRS",62570538,0
2019,8207037,14346,9,2019,"I",,"Y","G","C","2019_09_OH0259900_NIBRS",64236634,0
2019,8214699,14346,10,2019,"I",,"Y","G","C","2019_10_OH0259900_NIBRS",60801500,0
2019,8222361,14346,11,2019,"I",,"Y","G","C","2019_11_OH0259900_NIBRS",62575636,0
2019,8230023,14346,12,2019,"U",,"Y","G","C","2019_12_OH0259900_NIBRS",,0
2019,8145675,14274,1,2019,"I",,"Y","G","C","2019_01_OH018A10X_NIBRS",37415169,0
2019,8153337,14274,2,2019,"I",,"Y","G","C","2019_02_OH018A10X_NIBRS",37410532,0
2019,8160999,14274,3,2019,"U",,"Y","G","C","2019_03_OH018A10X_NIBRS",,0
2019,8168661,14274,4,2019,"U",,"Y","G","C","2019_04_OH018A10X_NIBRS",,0
2019,8176323,14274,5,2019,"U",,"Y","G","C","2019_05_OH018A10X_NIBRS",,0
2019,8183985,14274,6,2019,"U",,"Y","G","C","2019_06_OH018A10X_NIBRS",,0
2019,8191647,14274,7,2019,"U",,"Y","G","C","2019_07_OH018A10X_NIBRS",,0
2019,8199309,14274,8,2019,"U",,"Y","G","C","2019_08_OH018A10X_NIBRS",,0
2019,8206971,14274,9,2019,"U",,"Y","G","C","2019_09_OH018A10X_NIBRS",,0
2019,8214633,14274,10,2019,"U",,"Y","G","C","2019_10_OH018A10X_NIBRS",,0
2019,8222295,14274,11,2019,"U",,"Y","G","C","2019_11_OH018A10X_NIBRS",,0
2019,8229957,14274,12,2019,"U",,"Y","G","C","2019_12_OH018A10X_NIBRS",,0
2019,8146192,14932,1,2019,"I",,"Y","G","C","2019_01_OHOHP0000_NIBRS",70188188,0
2019,8153854,14932,2,2019,"I",,"Y","G","C","2019_02_OHOHP0000_NIBRS",70188168,0
2019,8161516,14932,3,2019,"I",,"Y","G","C","2019_03_OHOHP0000_NIBRS",70192761,0
2019,8146049,14756,1,2019,"U",,"Y","G","C","2019_01_OH0721000_NIBRS",,0
2019,8153711,14756,2,2019,"U",,"Y","G","C","2019_02_OH0721000_NIBRS",,0
2019,8161373,14756,3,2019,"U",,"Y","G","C","2019_03_OH0721000_NIBRS",,0
2019,8169035,14756,4,2019,"U",,"Y","G","C","2019_04_OH0721000_NIBRS",,0
2019,8176697,14756,5,2019,"U",,"Y","G","C","2019_05_OH0721000_NIBRS",,0
2019,8184359,14756,6,2019,"U",,"Y","G","C","2019_06_OH0721000_NIBRS",,0
2019,8192021,14756,7,2019,"I",,"Y","G","C","2019_07_OH0721000_NIBRS",51164139,0
2019,8199683,14756,8,2019,"U",,"Y","G","C","2019_08_OH0721000_NIBRS",,0
2019,8207345,14756,9,2019,"U",,"Y","G","C","2019_09_OH0721000_NIBRS",,0
2019,8215007,14756,10,2019,"U",,"Y","G","C","2019_10_OH0721000_NIBRS",,0
2019,8222669,14756,11,2019,"U",,"Y","G","C","2019_11_OH0721000_NIBRS",,0
2019,8230331,14756,12,2019,"U",,"Y","G","C","2019_12_OH0721000_NIBRS",,0
2019,8149481,25362,1,2019,"U",,"Y","G","C","2019_01_OH0121600_NIBRS",,0
2019,8157143,25362,2,2019,"U",,"Y","G","C","2019_02_OH0121600_NIBRS",,0
2019,8164805,25362,3,2019,"U",,"Y","G","C","2019_03_OH0121600_NIBRS",,0
2019,8172467,25362,4,2019,"U",,"Y","G","C","2019_04_OH0121600_NIBRS",,0
2019,8180129,25362,5,2019,"U",,"Y","G","C","2019_05_OH0121600_NIBRS",,0
2019,8187791,25362,6,2019,"U",,"Y","G","C","2019_06_OH0121600_NIBRS",,0
2019,8195453,25362,7,2019,"U",,"Y","G","C","2019_07_OH0121600_NIBRS",,0
2019,8203115,25362,8,2019,"U",,"Y","G","C","2019_08_OH0121600_NIBRS",,0
2019,8210777,25362,9,2019,"U",,"Y","G","C","2019_09_OH0121600_NIBRS",,0
2019,8218439,25362,10,2019,"U",,"Y","G","C","2019_10_OH0121600_NIBRS",,0
2019,8226101,25362,11,2019,"U",,"Y","G","C","2019_11_OH0121600_NIBRS",,0
2019,8233763,25362,12,2019,"U",,"Y","G","C","2019_12_OH0121600_NIBRS",,0
2019,8145672,14269,1,2019,"I",,"Y","G","C","2019_01_OH0186300_NIBRS",62568735,0
2019,8153334,14269,2,2019,"I",,"Y","G","C","2019_02_OH0186300_NIBRS",62573345,0
2019,8160996,14269,3,2019,"I",,"Y","G","C","2019_03_OH0186300_NIBRS",62573351,0
2019,8168658,14269,4,2019,"I",,"Y","G","C","2019_04_OH0186300_NIBRS",62573355,0
2019,8145739,14344,1,2019,"I",,"Y","G","C","2019_01_OH0254700_NIBRS",70891785,0
2019,8153401,14344,2,2019,"I",,"Y","G","C","2019_02_OH0254700_NIBRS",64226605,0
2019,8161063,14344,3,2019,"I",,"Y","G","C","2019_03_OH0254700_NIBRS",70831336,0
2019,8168725,14344,4,2019,"I",,"Y","G","C","2019_04_OH0254700_NIBRS",70890012,0
2019,8176387,14344,5,2019,"I",,"Y","G","C","2019_05_OH0254700_NIBRS",70890018,0
2019,8184049,14344,6,2019,"I",,"Y","G","C","2019_06_OH0254700_NIBRS",66791248,0
2019,8191711,14344,7,2019,"I",,"Y","G","C","2019_07_OH0254700_NIBRS",70890022,0
2019,8199373,14344,8,2019,"I",,"Y","G","C","2019_08_OH0254700_NIBRS",70831346,0
2019,8207035,14344,9,2019,"I",,"Y","G","C","2019_09_OH0254700_NIBRS",70890031,0
2019,8214697,14344,10,2019,"I",,"Y","G","C","2019_10_OH0254700_NIBRS",70890034,0
2019,8222359,14344,11,2019,"I",,"Y","G","C","2019_11_OH0254700_NIBRS",70890039,0
2019,8230021,14344,12,2019,"I",,"Y","G","C","2019_12_OH0254700_NIBRS",70890044,0
