"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31617657,8,31643930
2019,31620057,1,31645976
2019,31617660,1,31643933
2019,31620061,1,31645980
2019,31617662,1,31643936
2019,31617665,1,31643939
2019,31617668,1,31643942
2019,31617669,1,31645984
2019,31617671,1,31643943
2019,31617673,1,31643945
2019,31617674,1,31643946
2019,31620068,1,31645989
2019,31620067,1,31645988
2019,31617676,1,31643948
2019,31617678,6,31643950
2019,31620072,1,31645995
2019,31620073,1,31643958
2019,31608349,1,31643957
2019,31620078,1,31643960
2019,31620079,1,31646001
2019,31608356,1,31634576
2019,31608357,1,31634577
2019,31620098,1,31646021
2019,31608360,3,31634580
2019,31620101,1,31646024
2019,31620105,1,31646031
2019,31620107,3,31643976
2019,31617700,1,31643975
2019,31620109,1,31646034
2019,31608368,1,31634589
2019,31620127,1,31646047
2019,31620128,1,31646048
2019,31617705,1,31643986
2019,31620131,3,31646051
2019,31620133,1,31646052
2019,31617710,1,31643992
2019,31620146,1,31643994
2019,31608374,1,31634594
2019,31608377,1,31634597
2019,31617714,1,31643997
2019,31617715,7,31643998
2019,31620151,8,31646067
2019,31620154,1,31644003
2019,31608379,1,31634598
2019,31617718,1,31644004
2019,31620159,1,31646073
2019,31620170,1,31646084
2019,31620174,1,31646087
2019,31617730,7,31644015
2019,31608381,1,31646088
2019,31617731,1,31644016
2019,31608383,1,31644019
2019,31620188,1,31634605
2019,31617734,1,31646100
2019,31608385,1,31634606
2019,31620193,1,31646104
2019,31620198,1,31646112
2019,31617739,1,31646113
2019,31617740,1,31646116
2019,31608388,1,31634608
2019,31608389,1,31634610
2019,31620206,1,31646121
2019,31620209,1,31644029
2019,31617743,1,31644030
2019,31620216,1,31646132
2019,31620220,1,31646135
2019,31608394,1,31634615
2019,31608393,1,31646136
2019,31620221,1,31644032
2019,31620226,1,31646140
2019,31620230,1,31646143
2019,31620228,1,31634617
2019,31617748,1,31644036
2019,31620229,1,31646142
2019,31620236,1,31646149
2019,31617750,1,31646150
2019,31620237,1,31646152
2019,31608399,1,31634618
2019,31620243,7,31646160
2019,31620246,1,31646162
2019,31620248,1,31646164
2019,31608404,1,31634622
2019,31620250,3,31646166
2019,31617760,1,31634626
2019,31617762,1,31646173
2019,31620258,1,31646175
2019,31620262,1,31646179
2019,31620263,1,31646181
2019,31608412,1,31646186
2019,31620269,1,31646187
2019,31620274,7,31646193
2019,31620280,1,31646200
2019,31615118,1,31641386
2019,31615121,1,31641388
2019,31607071,1,31637113
2019,31607072,1,31637115
2019,31611197,1,31641390
2019,31615128,1,31633305
2019,31615129,1,31633306
2019,31607075,1,31633301
2019,31615132,1,31641397
2019,31611204,1,31637121
2019,31615146,1,31641411
2019,31615152,1,31637138
2019,31615155,1,31641419
2019,31607088,1,31633317
2019,31615160,1,31641427
2019,31615161,1,31641426
2019,31611229,1,31641429
2019,31611238,1,31633321
2019,31607095,1,31637160
2019,31611250,1,31637170
2019,31615190,1,31633329
2019,31611264,1,31637180
2019,31611266,1,31637182
2019,31615194,1,31641458
2019,31611276,1,31641465
2019,31615207,1,31641474
2019,31611288,1,31637203
2019,31611292,1,31641481
2019,31611321,1,31637237
2019,31611337,1,31641490
2019,31615222,1,31641491
2019,31611344,1,31637260
2019,31607117,7,31633344
