"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129322998,4
2019,129338424,5
2019,129338484,5
2019,129343333,5
2019,129343482,5
2019,129343500,4
2019,129338675,4
2019,129334177,5
2019,129334208,4
2019,129344132,4
2019,129344208,5
2019,129344254,5
2019,129339161,5
2019,129334315,5
2019,129344261,4
2019,129344262,5
2019,129344302,4
2019,129344384,4
2019,129344490,5
2019,129344489,5
2019,129340421,4
2019,129345783,5
2019,129345831,4
2019,129346399,5
2019,129346528,5
2019,129342162,5
2019,129347420,5
2019,129342160,5
2019,129347542,5
2019,129336924,5
2019,129342475,5
2019,129347759,5
2019,129342549,5
2019,129347827,4
2019,129348212,5
2019,129348218,5
2019,129342887,4
2019,129342896,5
2019,129348242,5
2019,129348245,5
2019,129348246,5
2019,129348244,5
2019,129337413,5
2019,129352904,5
2019,129348264,5
2019,129348271,5
2019,129348318,5
2019,129348415,5
2019,129348418,4
2019,129348432,5
2019,129348455,5
2019,129348498,4
2019,129349149,4
2019,129349151,4
2019,129349153,4
2019,129357976,5
2019,129349287,4
2019,129349316,5
2019,129349332,4
2019,129353707,5
2019,129349443,5
2019,129353724,4
2019,129349492,5
2019,129358135,5
2019,135303603,4
2019,135303612,5
2019,135303691,5
2019,135303690,5
2019,135303696,5
2019,129313717,5
2019,129330775,5
2019,129315981,4
2019,129316205,5
2019,129325848,5
2019,129325923,5
2019,129316318,5
2019,129316382,4
2019,129326001,5
2019,129326027,4
2019,129316471,5
2019,129316490,4
2019,129316513,5
2019,129326261,5
2019,129316561,4
2019,129316830,4
2019,129326657,4
2019,129331671,5
2019,129317655,5
2019,129317654,5
2019,129317759,4
2019,129333113,5
2019,129317766,5
2019,129343003,4
2019,129338335,5
2019,129333580,5
2019,129343348,4
2019,129343389,5
2019,129338645,4
2019,129343490,5
2019,129343722,4
2019,129343815,5
2019,129334022,4
2019,129343950,4
2019,129343992,4
2019,129339026,5
2019,129344004,5
2019,129339027,5
2019,129339044,5
2019,129339046,6
2019,129344037,4
2019,129344109,4
2019,129344359,6
2019,129344371,5
2019,129344458,5
2019,129334497,4
2019,129339235,5
2019,129334536,5
2019,129344549,5
2019,129344553,4
2019,129344560,3
2019,129344600,4
2019,129345233,5
2019,129346125,4
2019,129346124,4
2019,129346165,5
2019,129346166,4
2019,129340977,4
2019,129340984,5
2019,129341012,5
2019,129346351,4
2019,129346379,5
2019,129335793,5
2019,129335877,5
2019,129341220,5
2019,129346547,5
2019,129346551,4
2019,129341313,4
2019,129335988,5
2019,129346612,5
2019,129346693,4
2019,129336067,4
2019,129336089,5
2019,129346723,4
2019,129346732,5
2019,129346739,5
2019,129346782,4
2019,129341472,5
2019,129336164,5
2019,129346868,5
2019,129341721,4
2019,129347021,5
2019,129347023,5
2019,129336377,5
2019,129347063,5
2019,129341808,5
2019,129347122,5
2019,129341839,5
2019,129341864,4
2019,129347173,4
2019,129336519,4
2019,129342003,4
2019,129347322,5
2019,129347340,1
2019,129336590,4
2019,129347363,4
2019,129347364,5
2019,129342115,5
2019,129336692,5
2019,129336691,5
2019,129336703,5
2019,129336767,4
2019,129342286,5
2019,129336936,4
2019,129347627,4
2019,129336975,5
2019,129342436,5
2019,129342456,4
2019,129347838,4
2019,129347879,5
2019,129347886,5
2019,129347907,4
2019,129342668,5
2019,129347950,7
2019,129347958,5
2019,129342744,4
2019,129342773,4
2019,129342795,4
2019,129348200,5
2019,129348232,5
2019,129348263,4
2019,129348284,5
2019,129348298,5
2019,129348309,5
2019,129348393,5
2019,129348422,5
2019,129348437,5
2019,129348468,5
2019,129353029,5
2019,129348521,5
2019,129348518,5
2019,129348551,4
2019,129348566,4
2019,129353087,5
2019,129348591,4
2019,129348626,5
2019,129337621,5
2019,129337622,5
2019,129348732,4
2019,129348737,4
2019,129337645,4
2019,129348765,5
2019,129348763,5
2019,129348785,4
2019,129348793,4
2019,129348815,5
2019,129337679,4
2019,129348830,5
2019,129337689,5
2019,129348840,2
2019,129353221,5
2019,129337705,5
2019,129348850,5
2019,129348860,5
2019,129348876,5
2019,129348977,5
2019,129348980,5
2019,129349027,5
2019,129349043,5
2019,129349048,5
2019,129349103,5
2019,130374657,4
