"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,126515974
2019,9,126531942
2019,9,131472628
2019,6,131476828
2019,8,131476908
2019,6,131468589
2019,9,131472909
2019,6,131468731
2019,6,131468730
2019,8,131477174
2019,9,131473053
2019,9,131477353
2019,6,131473085
2019,9,131468964
2019,9,131469059
2019,9,131477567
2019,9,131477565
2019,6,131469085
2019,6,131477578
2019,9,131477598
2019,9,131469106
2019,9,131473318
2019,9,131473381
2019,9,131473397
2019,9,131477734
2019,6,131469251
2019,9,131469269
2019,9,131473465
2019,9,131469320
2019,9,131473529
2019,9,131477863
2019,9,131469447
2019,1,131473610
2019,6,131477990
2019,9,131478004
2019,9,131469542
2019,6,131473672
2019,9,131469550
2019,9,131478157
2019,6,131469698
2019,6,131473908
2019,6,129349370
2019,9,129349384
2019,9,129349401
2019,6,129345189
2019,9,129352513
2019,9,129352522
2019,9,129349696
2019,6,129352559
2019,8,129352578
2019,6,129352580
2019,9,129349758
2019,9,129349759
2019,6,129352613
2019,6,129345673
2019,6,129345674
2019,9,129352724
2019,9,129349931
2019,8,129345823
2019,8,129345825
2019,9,129345845
2019,9,129345846
2019,9,129345847
2019,9,129345851
2019,6,129352751
2019,6,129345881
2019,6,129352756
2019,9,129345944
2019,9,129345947
2019,9,129345949
2019,9,129345954
2019,9,129350059
2019,9,129345969
2019,6,129352839
2019,9,129345972
2019,6,129345974
2019,6,129350082
2019,8,129345981
2019,9,129350096
2019,6,129350158
2019,7,129350161
2019,9,129367022
2019,3,129364834
2019,8,129371352
2019,6,129367127
2019,9,129367169
2019,9,129365002
2019,9,129365017
2019,9,129367183
2019,9,129371454
2019,6,129367263
2019,9,129371731
2019,9,129365996
2019,9,129365995
2019,14,147659252
2019,9,147659249
2019,8,147666637
2019,6,147661964
2019,6,147633252
2019,9,147626804
2019,6,147633319
2019,6,147633318
2019,9,147633324
2019,6,147633385
2019,6,147633384
2019,9,147636484
2019,6,147636712
2019,6,147636713
2019,8,147627078
2019,6,147637173
2019,9,147637211
2019,6,147634410
2019,9,147638163
2019,6,147628359
2019,9,147638729
2019,9,147634917
2019,9,147638861
2019,6,147639093
2019,6,147639094
2019,6,147635239
2019,6,147635238
